Feature ID,Domain,Super_Groups,Super_Kingdom,Kingdom,Phylum,Class,Family,Genus,species
99a68f3bfd93cbfedc0bd8f2c96fd339,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1d00fa692f4dcaab52ae39f5bb09bdad,Eukaryota,Excavata,Discoba,Euglenozoa,Kinetoplastea,Neobodonida,Rhynchomonadidae,Rhynchomonas,Unassigned
94b4ffda987574ff385e31b7f3125573,Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,Elardia,Euamoebida,Nolandellidae,Nolandellidae_X,Nolandellidae_X_sp.
6f3ef54736849b1f627b3af596d61a42,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
070fb6ea8cfa4879d7c1c628c1f5d02c,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadales_clade-XIII,Ochromonadales_clade-XIII_X,Ochromonadales_clade-XIII_X_sp.
6018f35377684d2c53db284344c50060,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia_spelaea
76cd73d49fa6831011a2dd8e448dbfa4,Eukaryota,Amoebozoa,Discosea,Discosea_X,Flabellinia,Vannellida,Vannellidae,Ripella,Ripella_sp.
7919cf8f9837361d6b37d7e32533a447,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
4d1267553fe24aa7a2df68f9604a5211,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
f7455ce0bd317aead81e29504edd67fa,Eukaryota,Obazoa,Opisthokonta,Fungi,Zoopagomycota,Entomophthoromycotina,Entomophthoromycotina_X,Basidiobolus,Unassigned
d03a3f08ae04950c425b7c7d15f1e2a4,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
c0c8a0c7ac9ecef5ebcad6a7819166e6,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
6190a0fc31e2cbab4d22ff81aade1b16,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
736151b7d3d84416a5d0e026d4a99ed9,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
99bbab6377f4f3ba360c5b5e223aa4d2,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ce3367877759cc42d1d035038c44c2f7,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_VI,Tetramitia_VI_X,Paravahlkampfia,Paravahlkampfia_ustiana
7a879b28b7193ec9d2670bd1ba74340d,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
